Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,Player
1970,22,LAD,NL,0,0,,5.29,8,0,5,0,0,2,17,18,11,10,7,11,0,8,0,0,0,79,74,8.99,1.706,9.5,3.7,5.8,4.2,0.73,,Charlie Hough
1971,23,LAD,NL,0,0,,4.15,4,0,3,0,0,0,4.1,3,3,2,1,3,0,4,0,0,0,19,86,5.68,1.385,6.2,2.1,6.2,8.3,1.33,,Charlie Hough
1972,24,LAD,NL,0,0,,3.38,2,0,2,0,0,0,2.2,2,1,1,0,2,0,4,1,0,0,13,116,2.77,1.5,6.8,0,6.8,13.5,2,,Charlie Hough
1973,25,LAD,NL,4,2,0.667,2.76,37,0,18,0,0,5,71.2,52,24,22,3,45,2,70,6,0,2,309,127,3.29,1.353,6.5,0.4,5.7,8.8,1.56,,Charlie Hough
1974,26,LAD,NL,9,4,0.692,3.75,49,0,16,0,0,1,96,65,45,40,12,40,2,63,4,0,4,389,91,4.27,1.094,6.1,1.1,3.8,5.9,1.58,,Charlie Hough
1975,27,LAD,NL,3,7,0.3,2.95,38,0,24,0,0,4,61,43,25,20,3,34,0,34,8,1,4,266,117,4.18,1.262,6.3,0.4,5,5,1,,Charlie Hough
1976,28,LAD,NL,12,8,0.6,2.21,77,0,55,0,0,18,142.2,102,43,35,6,77,3,81,8,0,9,600,153,3.83,1.255,6.4,0.4,4.9,5.1,1.05,,Charlie Hough
1977,29,LAD,NL,6,12,0.333,3.32,70,1,53,0,0,22,127.1,98,53,47,10,70,6,105,7,0,8,551,116,3.92,1.319,6.9,0.7,4.9,7.4,1.5,,Charlie Hough
1978,30,LAD,NL,5,5,0.5,3.28,55,0,31,0,0,7,93.1,69,38,34,6,48,4,66,5,0,6,390,108,3.71,1.254,6.7,0.6,4.6,6.4,1.38,,Charlie Hough
1979,31,LAD,NL,7,5,0.583,4.76,42,14,10,0,0,0,151.1,152,88,80,16,66,2,76,8,1,9,662,76,4.57,1.441,9,1,3.9,4.5,1.15,,Charlie Hough
1980,32,TOT,MLB,3,5,0.375,4.52,35,3,12,2,1,1,93.2,91,51,47,6,58,2,72,5,0,11,426,84,4.07,1.591,8.7,0.6,5.6,6.9,1.24,,Charlie Hough
1980,32,LAD,NL,1,3,0.25,5.57,19,1,5,0,0,1,32.1,37,21,20,4,21,0,25,2,0,3,156,64,4.95,1.794,10.3,1.1,5.8,7,1.19,,Charlie Hough
1980,32,TEX,AL,2,2,0.5,3.96,16,2,7,2,1,0,61.1,54,30,27,2,37,2,47,3,0,8,270,99,3.6,1.484,7.9,0.3,5.4,6.9,1.27,,Charlie Hough
1981,33,TEX,AL,4,1,0.8,2.96,21,5,9,2,0,1,82,61,30,27,4,31,1,69,3,0,4,330,117,2.8,1.122,6.7,0.4,3.4,7.6,2.23,,Charlie Hough
1982,34,TEX,AL,16,13,0.552,3.95,34,34,0,12,2,0,228,217,111,100,21,72,5,128,7,0,9,954,98,3.83,1.268,8.6,0.8,2.8,5.1,1.78,,Charlie Hough
1983,35,TEX,AL,15,13,0.536,3.18,34,33,1,11,3,0,252,219,96,89,22,95,0,152,3,1,6,1030,126,3.85,1.246,7.8,0.8,3.4,5.4,1.6,,Charlie Hough
1984,36,TEX,AL,16,14,0.533,3.76,36,36,0,17,1,0,266,260,127,111,26,94,3,164,9,2,12,1133,110,3.97,1.331,8.8,0.9,3.2,5.5,1.74,,Charlie Hough
1985,37,TEX,AL,14,16,0.467,3.31,34,34,0,14,1,0,250.1,198,102,92,23,83,1,141,7,3,11,1018,128,3.83,1.123,7.1,0.8,3,5.1,1.7,,Charlie Hough
1986,38,TEX,AL,17,10,0.63,3.79,33,33,0,7,2,0,230.1,188,115,97,32,89,2,146,9,0,16,958,114,4.59,1.203,7.3,1.3,3.5,5.7,1.64,AS,Charlie Hough
1987,39,TEX,AL,18,13,0.581,3.79,40,40,0,13,0,0,285.1,238,159,120,36,124,1,223,19,9,12,1231,118,4.45,1.269,7.5,1.1,3.9,7,1.8,,Charlie Hough
1988,40,TEX,AL,15,16,0.484,3.32,34,34,0,10,0,0,252,202,111,93,20,126,1,174,12,10,10,1067,122,4.06,1.302,7.2,0.7,4.5,6.2,1.38,,Charlie Hough
1989,41,TEX,AL,10,13,0.435,4.35,30,30,0,5,1,0,182,168,97,88,28,95,2,94,6,5,7,795,91,5.39,1.445,8.3,1.4,4.7,4.6,0.99,,Charlie Hough
1990,42,TEX,AL,12,12,0.5,4.07,32,32,0,5,0,0,218.2,190,108,99,24,119,2,114,11,0,4,950,96,4.98,1.413,7.8,1,4.9,4.7,0.96,,Charlie Hough
1991,43,CHW,AL,9,10,0.474,4.02,31,29,1,4,1,0,199.1,167,98,89,21,94,0,107,11,1,5,858,99,4.73,1.309,7.5,0.9,4.2,4.8,1.14,,Charlie Hough
1992,44,CHW,AL,7,12,0.368,3.93,27,27,0,4,0,0,176.1,160,88,77,19,66,2,76,7,1,10,751,99,4.56,1.282,8.2,1,3.4,3.9,1.15,,Charlie Hough
1993,45,FLA,NL,9,16,0.36,4.27,34,34,0,0,0,0,204.1,202,109,97,20,71,2,126,8,4,11,876,100,4.19,1.336,8.9,0.9,3.1,5.5,1.77,,Charlie Hough
1994,46,FLA,NL,5,9,0.357,5.15,21,21,0,1,1,0,113.2,118,74,65,17,52,1,65,10,4,9,515,85,5.57,1.496,9.3,1.3,4.1,5.1,1.25,,Charlie Hough
25 Yrs,25 Yrs,25 Yrs,25 Yrs,216,216,0.5,3.75,858,440,240,107,13,61,3801.1,3283,1807,1582,383,1665,44,2362,174,42,179,16170,106,4.29,1.302,7.8,0.9,3.9,5.6,1.42,,Charlie Hough
162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,11,11,0.5,3.75,45,23,13,6,1,3,199,172,95,83,20,87,2,124,9,2,9,847,106,4.29,1.302,7.8,0.9,3.9,5.6,1.42,,Charlie Hough
TEX (11 yrs),TEX (11 yrs),TEX (11 yrs),TEX (11 yrs),139,123,0.531,3.68,344,313,17,98,11,1,2308,1995,1086,943,238,965,20,1452,89,30,99,9736,111,4.22,1.282,7.8,0.9,3.8,5.7,1.5,,Charlie Hough
LAD (11 yrs),LAD (11 yrs),LAD (11 yrs),LAD (11 yrs),47,46,0.505,3.5,401,16,222,0,0,60,799.2,641,352,311,68,417,19,536,49,2,45,3434,102,4.16,1.323,7.2,0.8,4.7,6,1.29,,Charlie Hough
FLA (2 yrs),FLA (2 yrs),FLA (2 yrs),FLA (2 yrs),14,25,0.359,4.58,55,55,0,1,1,0,318,320,183,162,37,123,3,191,18,8,20,1391,94,4.68,1.393,9.1,1,3.5,5.4,1.55,,Charlie Hough
CHW (2 yrs),CHW (2 yrs),CHW (2 yrs),CHW (2 yrs),16,22,0.421,3.98,58,56,1,8,1,0,375.2,327,186,166,40,160,2,183,18,2,15,1609,99,4.65,1.296,7.8,1,3.8,4.4,1.14,,Charlie Hough
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charlie Hough
AL (13 yrs),AL (13 yrs),AL (13 yrs),AL (13 yrs),155,145,0.517,3.72,402,369,18,106,12,1,2683.2,2322,1272,1109,278,1125,22,1635,107,32,114,11345,110,4.28,1.284,7.8,0.9,3.8,5.5,1.45,,Charlie Hough
