Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,,Player
2001,26,TEX,AL,0,1,0,6.75,4,0,1,0,0,0,12,13,9,9,3,7,1,4,0,0,1,53,71,7.38,1.667,9.8,2.3,5.3,3,0.57,,,R.a. Dickey
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.a. Dickey
2003,28,TEX,AL,9,8,0.529,5.09,38,13,6,1,1,1,116.2,135,68,66,16,38,5,94,5,2,5,513,99,4.31,1.483,10.4,1.2,2.9,7.3,2.47,,,R.a. Dickey
2004,29,TEX,AL,6,7,0.462,5.61,25,15,2,0,0,1,104.1,136,77,65,17,33,1,57,4,1,5,480,90,5.14,1.62,11.7,1.5,2.8,4.9,1.73,,,R.a. Dickey
2005,30,TEX,AL,1,2,0.333,6.67,9,4,2,0,0,0,29.2,29,23,22,4,17,0,15,2,0,2,134,69,5.68,1.551,8.8,1.2,5.2,4.6,0.88,,,R.a. Dickey
2006,31,TEX,AL,0,1,0,18.9,1,1,0,0,0,0,3.1,8,7,7,6,1,0,1,0,0,0,18,27,26.85,2.7,21.6,16.2,2.7,2.7,1,,,R.a. Dickey
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.a. Dickey
2008,33,SEA,AL,5,8,0.385,5.21,32,14,9,0,0,0,112.1,124,65,65,15,51,4,58,2,1,11,500,81,5.25,1.558,9.9,1.2,4.1,4.6,1.14,,,R.a. Dickey
2009,34,MIN,AL,1,1,0.5,4.62,35,1,13,0,0,0,64.1,74,34,33,8,30,1,42,4,0,4,293,95,4.99,1.617,10.4,1.1,4.2,5.9,1.4,,,R.a. Dickey
2010,35,NYM,NL,11,9,0.55,2.84,27,26,0,2,1,0,174.1,165,62,55,13,42,3,104,4,0,11,713,138,3.65,1.187,8.5,0.7,2.2,5.4,2.48,,,R.a. Dickey
2011,36,NYM,NL,8,13,0.381,3.28,33,32,0,1,0,0,208.2,202,85,76,18,54,2,134,9,1,9,876,112,3.77,1.227,8.7,0.8,2.3,5.8,2.48,,,R.a. Dickey
2012,37,NYM,NL,20,6,0.769,2.73,34,33,1,5,3,0,233.2,192,78,71,24,54,2,230,9,1,4,927,139,3.27,1.053,7.4,0.9,2.1,8.9,4.26,ASCYA-1MVP-14,,R.a. Dickey
2013,38,TOR,AL,14,13,0.519,4.21,34,34,0,3,1,0,224.2,207,113,105,35,71,0,177,10,1,7,943,98,4.58,1.237,8.3,1.4,2.8,7.1,2.49,GG,,R.a. Dickey
2014,39,TOR,AL,14,13,0.519,3.71,34,34,0,1,0,0,215.2,191,101,89,26,74,2,173,14,0,5,914,102,4.32,1.229,8,1.1,3.1,7.2,2.34,,,R.a. Dickey
2015,40,TOR,AL,11,11,0.5,3.91,33,33,0,2,0,0,214.1,195,97,93,25,61,1,126,11,2,9,884,105,4.48,1.194,8.2,1,2.6,5.3,2.07,,,R.a. Dickey
2016,41,TOR,AL,10,15,0.4,4.46,30,29,1,0,0,0,169.2,169,97,84,28,63,0,126,6,1,5,728,96,5.03,1.367,9,1.5,3.3,6.7,2,,,R.a. Dickey
2017,42,ATL,NL,10,10,0.5,4.26,31,31,0,0,0,0,190,193,99,90,26,67,3,136,10,2,13,815,102,4.72,1.368,9.1,1.2,3.2,6.4,2.03,,,R.a. Dickey
15 Yrs,15 Yrs,15 Yrs,15 Yrs,120,118,0.504,4.04,400,300,35,15,6,2,2073.2,2033,1015,930,264,663,25,1477,90,12,91,8791,103,4.41,1.3,8.8,1.1,2.9,6.4,2.23,,,R.a. Dickey
162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,12,11,0.504,4.04,39,29,3,1,1,0,201,197,99,90,26,64,2,143,9,1,9,854,103,4.41,1.3,8.8,1.1,2.9,6.4,2.23,,,R.a. Dickey
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.a. Dickey
TEX (5 yrs),TEX (5 yrs),TEX (5 yrs),TEX (5 yrs),16,19,0.457,5.72,77,33,11,1,1,2,266,321,184,169,46,96,7,171,11,3,13,1198,87,5.21,1.568,10.9,1.6,3.2,5.8,1.78,,,R.a. Dickey
TOR (4 yrs),TOR (4 yrs),TOR (4 yrs),TOR (4 yrs),49,52,0.485,4.05,131,130,1,6,1,0,824.1,762,408,371,114,269,3,602,41,4,26,3469,100,4.58,1.251,8.3,1.2,2.9,6.6,2.24,,,R.a. Dickey
NYM (3 yrs),NYM (3 yrs),NYM (3 yrs),NYM (3 yrs),39,28,0.582,2.95,94,91,1,8,4,0,616.2,559,225,202,55,150,7,468,22,2,24,2516,129,3.55,1.15,8.2,0.8,2.2,6.8,3.12,,,R.a. Dickey
MIN (1 yr),MIN (1 yr),MIN (1 yr),MIN (1 yr),1,1,0.5,4.62,35,1,13,0,0,0,64.1,74,34,33,8,30,1,42,4,0,4,293,95,4.99,1.617,10.4,1.1,4.2,5.9,1.4,,,R.a. Dickey
ATL (1 yr),ATL (1 yr),ATL (1 yr),ATL (1 yr),10,10,0.5,4.26,31,31,0,0,0,0,190,193,99,90,26,67,3,136,10,2,13,815,102,4.72,1.368,9.1,1.2,3.2,6.4,2.03,,,R.a. Dickey
SEA (1 yr),SEA (1 yr),SEA (1 yr),SEA (1 yr),5,8,0.385,5.21,32,14,9,0,0,0,112.1,124,65,65,15,51,4,58,2,1,11,500,81,5.25,1.558,9.9,1.2,4.1,4.6,1.14,,,R.a. Dickey
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.a. Dickey
AL (11 yrs),AL (11 yrs),AL (11 yrs),AL (11 yrs),71,80,0.47,4.53,275,178,34,7,2,2,1267,1281,691,638,183,446,15,873,58,8,54,5460,95,4.79,1.363,9.1,1.3,3.2,6.2,1.96,,,R.a. Dickey
NL (4 yrs),NL (4 yrs),NL (4 yrs),NL (4 yrs),49,38,0.563,3.26,125,122,1,8,4,0,806.2,752,324,292,81,217,10,604,32,4,37,3331,120,3.82,1.201,8.4,0.9,2.4,6.7,2.78,,,R.a. Dickey
