Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,,Player
1913,21,BOS,AL,14,17,0.452,2.39,42,28,11,14,3,1,259.1,245,108,69,0,94,,144,4,2,6,1079,121,2.58,1.307,8.5,0,3.3,5,1.53,,,Dutch Leonard
1914,22,BOS,AL,19,5,0.792,0.96,36,25,8,17,7,3,224.2,139,34,24,3,60,,176,8,0,2,842,279,1.95,0.886,5.6,0.1,2.4,7.1,2.93,MVP-16,,Dutch Leonard
1915,23,BOS,AL,15,7,0.682,2.36,32,21,7,10,2,0,183.1,130,57,48,3,67,,116,14,1,2,705,119,2.68,1.075,6.4,0.1,3.3,5.7,1.73,,,Dutch Leonard
1916,24,BOS,AL,18,12,0.6,2.36,48,35,13,17,6,6,274,244,87,72,6,66,,144,8,0,8,1060,117,2.36,1.131,8,0.2,2.2,4.7,2.18,,,Dutch Leonard
1917,25,BOS,AL,16,17,0.485,2.17,37,36,1,26,4,1,294.1,257,88,71,4,72,,144,5,0,7,1168,119,2.25,1.118,7.9,0.1,2.2,4.4,2,,,Dutch Leonard
1918,26,BOS,AL,8,6,0.571,2.72,16,16,0,12,3,0,125.2,119,51,38,0,53,,47,2,0,7,542,99,2.8,1.369,8.5,0,3.8,3.4,0.89,,,Dutch Leonard
1919,27,DET,AL,14,13,0.519,2.77,29,28,1,18,4,0,217.1,212,89,67,7,65,,102,7,0,4,908,115,2.96,1.275,8.8,0.3,2.7,4.2,1.57,,,Dutch Leonard
1920,28,DET,AL,10,17,0.37,4.33,28,27,1,10,3,0,191.1,192,107,92,8,63,,76,8,0,13,779,86,3.61,1.333,9,0.4,3,3.6,1.21,,,Dutch Leonard
1921,29,DET,AL,11,13,0.458,3.75,36,32,3,15,1,1,245,273,125,102,15,63,,120,10,0,7,1058,114,3.81,1.371,10,0.6,2.3,4.4,1.9,,,Dutch Leonard
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch Leonard
1924,32,DET,AL,3,3,0.5,4.56,9,7,2,3,0,1,51.1,68,32,26,1,18,,26,1,0,1,232,91,3.39,1.675,11.9,0.2,3.2,4.6,1.44,,,Dutch Leonard
1925,33,DET,AL,11,4,0.733,4.51,18,18,0,9,0,0,125.2,143,73,63,7,43,,65,1,0,4,555,96,3.85,1.48,10.2,0.5,3.1,4.7,1.51,,,Dutch Leonard
11 Yrs,11 Yrs,11 Yrs,11 Yrs,139,114,0.549,2.76,331,273,47,151,33,13,2192,2022,851,672,54,664,,1160,68,3,61,8928,115,2.82,1.225,8.3,0.2,2.7,4.8,1.75,,,Dutch Leonard
162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,16,13,0.549,2.76,37,31,5,17,4,1,247,228,96,76,6,75,,131,8,0,7,1005,115,2.82,1.225,8.3,0.2,2.7,4.8,1.75,,,Dutch Leonard
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch Leonard
BOS (6 yrs),BOS (6 yrs),BOS (6 yrs),BOS (6 yrs),90,64,0.584,2.13,211,161,40,96,25,11,1361.1,1134,425,322,16,412,,771,41,3,32,5396,129,2.39,1.136,7.5,0.1,2.7,5.1,1.87,,,Dutch Leonard
DET (5 yrs),DET (5 yrs),DET (5 yrs),DET (5 yrs),49,50,0.495,3.79,120,112,7,55,8,2,830.2,888,426,350,38,252,,389,27,0,29,3532,102,3.52,1.372,9.6,0.4,2.7,4.2,1.54,,,Dutch Leonard
