Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,,Player
1964,25,MLN,NL,0,0,,4.8,10,0,2,0,0,0,15,15,10,8,1,7,0,8,1,0,1,66,76,4.01,1.467,9,0.6,4.2,4.8,1.14,,,Phil Niekro
1965,26,MLN,NL,2,3,0.4,2.89,41,1,21,0,0,6,74.2,73,32,24,5,26,3,49,3,0,9,324,122,3.24,1.326,8.8,0.6,3.1,5.9,1.88,,,Phil Niekro
1966,27,ATL,NL,4,3,0.571,4.11,28,0,10,0,0,2,50.1,48,32,23,4,23,5,17,2,0,3,224,90,4.4,1.411,8.6,0.7,4.1,3,0.74,,,Phil Niekro
1967,28,ATL,NL,11,9,0.55,1.87,46,20,20,10,1,9,207,164,64,43,9,55,3,129,7,1,19,827,179,2.76,1.058,7.1,0.4,2.4,5.6,2.35,,,Phil Niekro
1968,29,ATL,NL,14,12,0.538,2.59,37,34,3,15,5,2,256.2,228,83,74,16,45,3,140,5,3,16,1019,116,2.69,1.064,8,0.6,1.6,4.9,3.11,,,Phil Niekro
1969,30,ATL,NL,23,13,0.639,2.56,40,35,4,21,4,1,284.1,235,93,81,21,57,7,193,5,0,15,1143,142,2.77,1.027,7.4,0.7,1.8,6.1,3.39,ASCYA-2MVP-9,,Phil Niekro
1970,31,ATL,NL,12,18,0.4,4.27,34,32,1,10,3,0,229.2,222,124,109,40,68,2,168,6,2,6,980,100,4.41,1.263,8.7,1.6,2.7,6.6,2.47,,,Phil Niekro
1971,32,ATL,NL,15,14,0.517,2.98,42,36,4,18,4,2,268.2,248,112,89,27,70,6,173,3,1,8,1101,125,3.28,1.184,8.3,0.9,2.3,5.8,2.47,,,Phil Niekro
1972,33,ATL,NL,16,12,0.571,3.06,38,36,1,17,1,0,282.1,254,112,96,22,53,3,164,5,3,10,1150,123,2.87,1.087,8.1,0.7,1.7,5.2,3.09,,,Phil Niekro
1973,34,ATL,NL,13,10,0.565,3.31,42,30,7,9,1,4,245,214,103,90,21,89,4,131,5,0,11,1023,120,3.76,1.237,7.9,0.8,3.3,4.8,1.47,,,Phil Niekro
1974,35,ATL,NL,20,13,0.606,2.38,41,39,1,18,6,1,302.1,249,91,80,19,88,3,195,6,4,6,1219,159,3.04,1.115,7.4,0.6,2.6,5.8,2.22,CYA-3,,Phil Niekro
1975,36,ATL,NL,15,15,0.5,3.2,39,37,2,13,1,0,275.2,285,115,98,29,72,3,144,11,2,15,1160,118,3.81,1.295,9.3,0.9,2.4,4.7,2,AS,,Phil Niekro
1976,37,ATL,NL,17,11,0.607,3.29,38,37,1,10,2,0,270.2,249,116,99,18,101,7,173,8,4,14,1157,115,3.43,1.293,8.3,0.6,3.4,5.8,1.71,,,Phil Niekro
1977,38,ATL,NL,16,20,0.444,4.03,44,43,1,20,2,0,330.1,315,166,148,26,164,12,262,8,3,17,1428,111,3.74,1.45,8.6,0.7,4.5,7.1,1.6,,,Phil Niekro
1978,39,ATL,NL,19,18,0.514,2.88,44,42,1,22,4,1,334.1,295,129,107,16,102,5,248,13,3,11,1389,142,2.76,1.187,7.9,0.4,2.7,6.7,2.43,ASCYA-6MVP-17GG,,Phil Niekro
1979,40,ATL,NL,21,20,0.512,3.39,44,44,0,23,1,0,342,311,160,129,41,113,8,208,11,4,18,1436,119,4.16,1.24,8.2,1.1,3,5.5,1.84,CYA-6MVP-20GG,,Phil Niekro
1980,41,ATL,NL,15,18,0.455,3.63,40,38,2,11,3,1,275,256,119,111,30,85,3,176,3,1,9,1137,102,3.85,1.24,8.4,1,2.8,5.8,2.07,GG,,Phil Niekro
1981,42,ATL,NL,7,7,0.5,3.1,22,22,0,3,3,0,139.1,120,56,48,6,56,2,62,1,0,2,578,116,3.5,1.263,7.8,0.4,3.6,4,1.11,,,Phil Niekro
1982,43,ATL,NL,17,4,0.81,3.61,35,35,0,4,2,0,234.1,225,106,94,23,73,1,144,3,1,4,969,104,3.74,1.272,8.6,0.9,2.8,5.5,1.97,ASCYA-5GG,,Phil Niekro
1983,44,ATL,NL,11,10,0.524,3.97,34,33,0,2,0,0,201.2,212,94,89,18,105,3,128,2,3,6,888,98,4.24,1.572,9.5,0.8,4.7,5.7,1.22,GG,,Phil Niekro
1984,45,NYY,AL,16,8,0.667,3.09,32,31,1,5,1,0,215.2,219,85,74,15,76,0,136,3,0,2,916,123,3.51,1.368,9.1,0.6,3.2,5.7,1.79,AS,,Phil Niekro
1985,46,NYY,AL,16,12,0.571,4.09,33,33,0,7,1,0,220,203,110,100,29,120,1,149,2,2,5,955,99,4.71,1.468,8.3,1.2,4.9,6.1,1.24,,,Phil Niekro
1986,47,CLE,AL,11,11,0.5,4.32,34,32,1,5,0,0,210.1,241,126,101,24,95,1,81,6,2,9,951,96,4.92,1.597,10.3,1,4.1,3.5,0.85,,,Phil Niekro
1987,48,TOT,MLB,7,13,0.35,6.3,26,26,0,2,0,0,138.2,163,99,97,22,66,1,64,4,3,10,637,72,5.52,1.651,10.6,1.4,4.3,4.2,0.97,,,Phil Niekro
1987,48,TOT,AL,7,13,0.35,6.1,25,25,0,2,0,0,135.2,157,94,92,22,60,1,64,4,3,10,617,74,5.45,1.6,10.4,1.5,4,4.2,1.07,,,Phil Niekro
1987,48,CLE,AL,7,11,0.389,5.89,22,22,0,2,0,0,123.2,142,83,81,18,53,1,57,4,2,9,561,77,5.22,1.577,10.3,1.3,3.9,4.1,1.08,,,Phil Niekro
1987,48,TOR,AL,0,2,0,8.25,3,3,0,0,0,0,12,15,11,11,4,7,0,7,0,1,1,56,56,7.79,1.833,11.3,3,5.3,5.3,1,,,Phil Niekro
1987,48,ATL,NL,0,0,,15,1,1,0,0,0,0,3,6,5,5,0,6,0,0,0,0,0,20,32,8.87,4,18,0,18,0,0,,,Phil Niekro
24 Yrs,24 Yrs,24 Yrs,24 Yrs,318,274,0.537,3.35,864,716,83,245,45,29,5404,5044,2337,2012,482,1809,86,3342,123,42,226,22677,115,3.62,1.268,8.4,0.8,3,5.6,1.85,,,Phil Niekro
162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,14,12,0.537,3.35,37,31,4,11,2,1,233,217,101,87,21,78,4,144,5,2,10,976,115,3.62,1.268,8.4,0.8,3,5.6,1.85,,,Phil Niekro
ATL (21 yrs),ATL (21 yrs),ATL (21 yrs),ATL (21 yrs),268,230,0.538,3.2,740,595,81,226,43,29,4622.1,4224,1922,1645,392,1458,83,2912,108,35,200,19238,119,3.46,1.229,8.2,0.8,2.8,5.7,2,,,Phil Niekro
CLE (2 yrs),CLE (2 yrs),CLE (2 yrs),CLE (2 yrs),18,22,0.45,4.9,56,54,1,7,0,0,334,383,209,182,42,148,2,138,10,4,18,1512,88,5.04,1.59,10.3,1.1,4,3.7,0.93,,,Phil Niekro
NYY (2 yrs),NYY (2 yrs),NYY (2 yrs),NYY (2 yrs),32,20,0.615,3.59,65,64,1,12,2,0,435.2,422,195,174,44,196,1,285,5,2,7,1871,109,4.11,1.419,8.7,0.9,4,5.9,1.45,,,Phil Niekro
TOR (1 yr),TOR (1 yr),TOR (1 yr),TOR (1 yr),0,2,0,8.25,3,3,0,0,0,0,12,15,11,11,4,7,0,7,0,1,1,56,56,7.79,1.833,11.3,3,5.3,5.3,1,,,Phil Niekro
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phil Niekro
NL (21 yrs),NL (21 yrs),NL (21 yrs),NL (21 yrs),268,230,0.538,3.2,740,595,81,226,43,29,4622.1,4224,1922,1645,392,1458,83,2912,108,35,200,19238,119,3.46,1.229,8.2,0.8,2.8,5.7,2,,,Phil Niekro
AL (4 yrs),AL (4 yrs),AL (4 yrs),AL (4 yrs),50,44,0.532,4.23,124,121,2,19,2,0,781.2,820,415,367,90,351,3,430,15,7,26,3439,97,4.56,1.498,9.4,1,4,5,1.23,,,Phil Niekro
