Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards,,Player
1955,19,BRO,NL,2,2,0.5,3.02,12,5,4,2,2,0,41.2,33,15,14,2,28,1,30,1,1,2,183,136,3.64,1.464,7.1,0.4,6,6.5,1.07,,,Sandy Koufax
1956,20,BRO,NL,2,4,0.333,4.91,16,10,1,0,0,0,58.2,66,37,32,10,29,0,30,0,2,1,261,82,5.05,1.619,10.1,1.5,4.4,4.6,1.03,,,Sandy Koufax
1957,21,BRO,NL,5,4,0.556,3.88,34,13,12,2,0,0,104.1,83,49,45,14,51,1,122,2,0,5,444,106,3.39,1.284,7.2,1.2,4.4,10.5,2.39,,,Sandy Koufax
1958,22,LAD,NL,11,11,0.5,4.48,40,26,7,5,0,1,158.2,132,89,79,19,105,6,131,1,0,17,714,93,4.38,1.494,7.5,1.1,6,7.4,1.25,,,Sandy Koufax
1959,23,LAD,NL,8,6,0.571,4.05,35,23,6,6,1,2,153.1,136,74,69,23,92,4,173,0,1,5,679,105,4.04,1.487,8,1.4,5.4,10.2,1.88,,,Sandy Koufax
1960,24,LAD,NL,8,13,0.381,3.91,37,26,7,7,2,1,175,133,83,76,20,100,6,197,1,0,9,753,101,3.49,1.331,6.8,1,5.1,10.1,1.97,,,Sandy Koufax
1961,25,LAD,NL,18,13,0.581,3.52,42,35,2,15,2,1,255.2,212,117,100,27,96,6,269,3,2,12,1068,122,3,1.205,7.5,1,3.4,9.5,2.8,ASASMVP-18,,Sandy Koufax
1962,26,LAD,NL,14,7,0.667,2.54,28,26,2,11,2,1,184.1,134,61,52,13,57,4,216,2,0,3,744,143,2.15,1.036,6.5,0.6,2.8,10.5,3.79,ASMVP-24,,Sandy Koufax
1963,27,LAD,NL,25,5,0.833,1.88,40,40,0,20,11,0,311,214,68,65,18,58,7,306,3,1,6,1210,159,1.85,0.875,6.2,0.5,1.7,8.9,5.28,ASCYA-1MVP-1,,Sandy Koufax
1964,28,LAD,NL,19,5,0.792,1.74,29,28,1,15,7,1,223,154,49,43,13,53,5,223,0,0,9,870,186,2.08,0.928,6.2,0.5,2.1,9,4.21,ASCYA-3MVP-17,,Sandy Koufax
1965,29,LAD,NL,26,8,0.765,2.04,43,41,2,27,8,2,335.2,216,90,76,26,71,4,382,5,0,11,1297,160,1.93,0.855,5.8,0.7,1.9,10.2,5.38,ASCYA-1MVP-2,,Sandy Koufax
1966,30,LAD,NL,27,9,0.75,1.73,41,41,0,27,5,0,323,241,74,62,19,77,4,317,0,0,7,1274,190,2.07,0.985,6.7,0.5,2.1,8.8,4.12,ASCYA-1MVP-2,,Sandy Koufax
12 Yrs,12 Yrs,12 Yrs,12 Yrs,165,87,0.655,2.76,397,314,44,137,40,9,2324.1,1754,806,713,204,817,48,2396,18,7,87,9497,131,2.69,1.106,6.8,0.8,3.2,9.3,2.93,,,Sandy Koufax
162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,16,8,0.655,2.76,38,30,4,13,4,1,222,168,77,68,20,78,5,229,2,1,8,908,131,2.69,1.106,6.8,0.8,3.2,9.3,2.93,,,Sandy Koufax
