Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV,Player
2020,23,ARI,QB,1,16,16,8/8/2000,375,558,67.2,3971,26,4.7,12,2.2,205,80,7.1,7.1,10.6,248.2,94.3,68.9,27,176,6.49,6.45,4.6,3,4,17,Kyler Murray 
2010,25,ATL,QB,2,16,16,13-3-0,357,571,62.5,3705,28,4.9,9,1.6,202,46,6.5,6.8,10.4,231.6,91,71.2,23,158,5.97,6.23,3.9,5,6,16,Matt Ryan
2020,23,BAL,QB,8,15,15,11/4/2000,242,376,64.4,2757,26,6.9,9,2.4,138,47,7.3,7.6,11.4,183.8,99.3,73.7,29,160,6.41,6.7,7.2,1,1,17,Lamar Jackson
2020,24,BUF,QB,17,16,16,13-3-0,396,572,69.2,4544,37,6.5,10,1.7,228,55,7.9,8.5,11.5,284,107.2,81.7,26,159,7.33,7.82,4.3,2,3,19,Josh Allen
2015,23,MIN,QB,5,16,16,11/5/2000,292,447,65.3,3231,14,3.1,9,2,153,52,7.2,6.9,11.1,201.9,88.7,57.7,44,307,5.96,5.7,9,1,1,13,Teddy Bridgewater
2019,25,CHI,QB,10,15,15,8/7/2000,326,516,63.2,3138,17,3.3,10,1.9,156,53,6.1,5.9,9.6,209.2,83,41.5,38,234,5.24,5.04,6.9,3,3,8,Mitchell Trubisky
2013,26,CIN,QB,14,16,16,11/5/2000,363,586,61.9,4293,33,5.6,20,3.4,206,82,7.3,6.9,11.8,268.3,88.8,54.8,29,182,6.68,6.29,4.7,1,3,14,Andy Dalton
2020,25,CLE,QB,6,16,16,11/5/2000,305,486,62.8,3563,26,5.3,8,1.6,188,75,7.3,7.7,11.7,222.7,95.9,72.2,26,162,6.64,6.96,5.1,2,2,12,Baker Mayfield
2018,25,DAL,QB,4,16,16,10/6/2000,356,526,67.7,3885,22,4.2,7,1.5,206,90,7.4,7.5,10.9,242.8,96.9,55.2,56,347,6.08,6.22,9.6,3,5,14,Dak Prescott
2020,24,DEN,QB,3,13,13,4/9/2000,254,443,57.3,2933,16,3.6,15,3.4,145,92,6.6,5.8,11.5,225.6,75.4,48.8,19,123,6.08,5.31,4.1,1,1,5,Drew Lock
2011,23,DET,QB,9,16,16,10/6/2000,421,663,63.5,5038,41,6.2,16,2.4,243,73,7.6,7.7,12,314.9,97.2,60.5,36,257,6.84,6.98,5.2,3,4,16,Matthew Stafford
2010,27,GNB,QB,12,15,15,10/5/2000,312,475,65.7,3922,28,5.9,11,2.3,183,86,8.3,8.4,12.6,261.5,101.2,69.6,31,193,7.37,7.5,6.1,0,1,15,Aaron Rodgers
2019,24,HOU,QB,4,15,15,10/5/2000,333,495,67.3,3852,26,5.3,12,2.4,191,54,7.8,7.7,11.6,256.8,98,70.5,44,257,6.67,6.63,8.2,3,5,16,Deshaun Watson
2008,27,SDG,QB,17,16,16,8/8/2000,312,478,65.3,4009,34,7.1,11,2.3,191,67,8.4,8.8,12.8,250.6,105.5,63.2,25,151,7.67,8.04,5,3,4,17,Phillip Rivers
2016,27,TAM,QB,8,2,0,0,10,11,90.9,75,1,9.1,0,0,6,13,6.8,8.6,7.5,37.5,125.4,96.3,0,0,6.82,8.64,0,0,0,0,Mike Glennon
2019,24,KAN,QB,15,14,14,11/3/2000,319,484,65.9,4031,26,5.4,5,1,176,83,8.3,8.9,12.6,287.9,105.3,77.7,17,127,7.79,8.38,3.4,1,1,17,Patrick Mahomes 
2010,28,BUF,QB,14,13,13,4/9/2000,255,441,57.8,3000,23,5.2,15,3.4,151,65,6.8,6.3,11.8,230.8,81.8,52.3,24,145,6.14,5.68,5.2,1,1,9,Ryan Fitzpatrick
2017,29,WAS,QB,8,16,16,7/9/2000,347,540,64.3,4093,27,5,13,2.4,194,74,7.6,7.5,11.8,255.8,93.9,56,41,342,6.46,6.38,7.1,1,4,12,Kirk Cousins
2013,24,CAR,QB,1,16,16,12/4/2000,292,473,61.7,3379,24,5.1,13,2.7,172,79,7.1,6.9,11.6,211.2,88.8,64.3,43,336,5.9,5.69,8.3,4,4,16,Cam Newton
2006,27,NOR,QB,9,16,16,10/6/2000,356,554,64.3,4418,26,4.7,11,2,202,86,8,8,12.4,276.1,96.2,66.7,18,105,7.54,7.58,3.1,1,2,15,Drew Brees
2020,23,NYG,QB,8,14,14,5/9/2000,280,448,62.5,2943,11,2.5,10,2.2,148,53,6.6,6.1,10.5,210.2,80.4,61.5,45,286,5.39,4.92,9.1,0,0,8,Daniel Jones
2020,23,NYJ,QB,14,12,12,2/10/2000,217,364,59.6,2208,9,2.5,11,3,109,69,6.1,5.2,10.2,184,72.7,40.1,35,234,4.95,4.16,8.8,0,0,3,Sam Darnold
2016,25,OAK,QB,4,15,15,12/3/2000,357,560,63.8,3937,28,5,6,1.1,191,75,7,7.5,11,262.5,96.7,56.1,16,79,6.7,7.2,2.8,7,7,12,Derek Carr
2018,26,PHI,QB,11,11,11,5/6/2000,279,401,69.6,3074,21,5.2,7,1.7,159,58,7.7,7.9,11,279.5,102.2,62,31,202,6.65,6.89,7.2,2,2,9,Carson Wentz
2006,24,PIT,QB,7,15,15,7/8/2000,280,469,59.7,3513,18,3.8,23,4.9,178,67,7.5,6.1,12.5,234.2,75.4,58,46,280,6.28,4.97,8.9,2,3,11,Ben Roethlisberger
2017,28,BUF,QB,5,15,14,8/6/2000,263,420,62.6,2799,14,3.3,4,1,133,47,6.7,6.9,10.6,186.6,89.2,56.4,46,256,5.46,5.67,9.9,1,2,12,Tyrod Taylor
2019,28,SFO,QB,10,16,16,13-3-0,329,476,69.1,3978,27,5.7,13,2.7,193,75,8.4,8.3,12.1,248.6,102,60.8,36,237,7.31,7.22,7,4,4,15,Jimmy Garoppolo
2014,26,SEA,QB,3,16,16,12/4/2000,285,452,63.1,3475,20,4.4,7,1.5,161,80,7.7,7.9,12.2,217.2,95,71.5,42,242,6.54,6.72,8.5,1,4,19,Russell Wilson
2018,24,LAR,QB,16,16,16,13-3-0,364,561,64.9,4688,32,5.7,12,2.1,268,70,8.4,8.5,12.9,293,101.1,63.6,33,223,7.52,7.69,5.6,4,4,18,Jared Goff
2003,26,NWE,QB,12,16,16,14-2-0,317,527,60.2,3620,23,4.4,12,2.3,175,82,6.9,6.7,11.4,226.3,85.9,0,32,219,6.08,5.94,5.7,3,5,11,Tom Brady
2014,26,MIA,QB,17,16,16,8/8/2000,392,590,66.4,4045,27,4.6,12,2,225,50,6.9,6.9,10.3,252.8,92.8,59.3,46,337,5.83,5.83,7.2,2,1,14,Ryan Tannehill
2019,31,WAS,QB,8,10,8,1/7/2000,160,247,64.8,1707,11,4.5,5,2,83,69,6.9,6.9,10.7,170.7,91.3,45.6,15,145,5.96,5.94,5.7,0,0,4,Case Keenum
